Country,continent,country_code
Albania,Europe,ALB
Antigua and Barbuda,Americas,ATG
Argentina,Americas,ARG
Armenia,Asia,ARM
Aruba,Americas,ABW
Australia,Oceania,AUS
Austria,Europe,AUT
Bahamas,Americas,BHS
Bahrain,Asia,BHR
Barbados,Americas,BRB
Belarus,Europe,BLR
Belgium,Europe,BEL
Belize,Americas,BLZ
Bermuda,Americas,BMU
Bolivia,Americas,BOL
"Bonaire, Sint Eustatius and Saba",,
Brazil,Americas,BRA
Bulgaria,Europe,BGR
Burkina Faso,Africa,BFA
Cabo Verde,Africa,CPV
Cambodia,Asia,KHM
Cayman Islands,Americas,CYM
Central African Republic,Africa,CAF
Chile,Americas,CHL
China,Asia,CHN
Christmas Island,,
Cocos,,
Colombia,Americas,COL
"Congo, Democratic Republic of the",Africa,COD
Costa Rica,Americas,CRI
Cuba,Americas,CUB
Cyprus,Asia,CYP
Czechia,Europe,CZE
Czechoslovakia,,
Côte d'Ivoire,Africa,CIV
Denmark,Europe,DNK
Djibouti,Africa,DJI
Dominica,Americas,DMA
Dominican Republic,Americas,DOM
East Germany,Europe,DEU
Ecuador,Americas,ECU
Egypt,Africa,EGY
Estonia,Europe,EST
Eswatini,Africa,SWZ
Fiji,Oceania,FJI
Finland,Europe,FIN
Former Union of Soviet Socialist Republics,,
France,Europe,FRA
French Polynesia,Oceania,PYF
French Southern Antarctic Territories,,
French Southern Territories,,
Gabon,Africa,GAB
Gambia,Africa,GMB
Georgia,Asia,GEO
Germany,Europe,DEU
Ghana,Africa,GHA
Greece,Europe,GRC
Greenland,Americas,GRL
Guadeloupe,,
Guam,Oceania,GUM
Guatemala,Americas,GTM
Guinea,Africa,GIN
Guinea-Bissau,Africa,GNB
Haiti,Americas,HTI
Heard Island and McDonald Islands,,
Honduras,Americas,HND
Hong Kong,Asia,HKG
Hungary,Europe,HUN
Iceland,Europe,ISL
India,Asia,IND
Indonesia,Asia,IDN
Iran,Asia,IRN
Ireland,Europe,IRL
Israel,Asia,ISR
Italy,Europe,ITA
Jamaica,Americas,JAM
Japan,Asia,JPN
Jordan,Asia,JOR
Kazakhstan,Asia,KAZ
Kenya,Africa,KEN
Kiribati,Oceania,KIR
"Korea, North",Asia,PRK
"Korea, South",Asia,KOR
Kuwait,Asia,KWT
Kyrgyzstan,Asia,KGZ
Laos,Asia,LAO
Lebanon,Asia,LBN
Lesotho,Africa,LSO
Luxembourg,Europe,LUX
Macao,Asia,MAC
Malawi,Africa,MWI
Malaysia,Asia,MYS
Maldives,Asia,MDV
Malta,Europe,MLT
Martinique,,
Mauritius,Africa,MUS
Mexico,Americas,MEX
"Moldova, Republic of",Europe,MDA
Mongolia,Asia,MNG
Morocco,Africa,MAR
Myanmar,Asia,MMR
Namibia,Africa,NAM
Nauru,Oceania,NRU
Nepal,Asia,NPL
Netherlands,Europe,NLD
Netherlands Antilles,Europe,NLD
New Zealand,Oceania,NZL
Niger,Africa,NER
Norfolk Island,,
Norway,Europe,NOR
Oman,Asia,OMN
Pakistan,Asia,PAK
Panama,Americas,PAN
Peru,Americas,PER
Philippines,Asia,PHL
Poland,Europe,POL
Portugal,Europe,PRT
Qatar,Asia,QAT
Romania,Europe,ROU
Russian Federation,Europe,RUS
"Saint Helena, Ascension and Tristan da Cunha",,
Saint Pierre and Miquelon,,
Saudi Arabia,Asia,SAU
Senegal,Africa,SEN
Serbia,Europe,SRB
Seychelles,Africa,SYC
Sierra Leone,Africa,SLE
Singapore,Asia,SGP
Slovakia,Europe,SVK
Slovenia,Europe,SVN
"South Africa, Republic of",Africa,ZAF
South Sudan,Africa,SSD
Spain,Europe,ESP
Sri Lanka,Asia,LKA
Sweden,Europe,SWE
Switzerland,Europe,CHE
Syria,Asia,SYR
Taiwan,Asia,TWN
Tajikistan,Asia,TJK
"Tanzania, United Republic of",Africa,TZA
Thailand,Asia,THA
Timor-Leste,Asia,TLS
Tokelau,,
Trinidad and Tobago,Americas,TTO
Tunisia,Africa,TUN
Turks and Caicos Islands,Americas,TCA
Türkiye,Asia,TUR
Ukraine,Europe,UKR
Union of Soviet Socialist Republics,,
United Arab Emirates,Asia,ARE
United Kingdom,Europe,GBR
United States,Americas,USA
United States Minor Outlying Islands,Americas,USA
Uruguay,Americas,URY
Uzbekistan,Asia,UZB
Venezuela,Americas,VEN
Viet Nam,Asia,VNM
West Germany,Europe,DEU
Yugoslavia,,
